what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719667259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719667322
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719678743
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1373719679978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719686072
error,log,,,"Cannot find navigator content extension (using triggerPoints) for object ""<null>"" parent path: ""P/Servers"".  Check that you have an expression for this object in a navigatorContent triggerPoints or enablement.",1373719708322
error,log,,,"Cannot find navigator content extension (using triggerPoints) for object ""<null>"" parent path: ""P/Servers"".  Check that you have an expression for this object in a navigatorContent triggerPoints or enablement.",1373719708337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719708368
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1373719710462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719714525
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719714540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719714618
