what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1373719889103
java.vendor,sysinfo,,,"Oracle Corporation",1373719889103
java.version,sysinfo,,,"1.7.0",1373719889103
java.vm.info,sysinfo,,,"mixed mode",1373719889103
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1373719889103
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1373719889103
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1373719889103
java.vm.specification.version,sysinfo,,,"1.7",1373719889103
java.vm.vendor,sysinfo,,,"Oracle Corporation",1373719889103
java.vm.version,sysinfo,,,"21.0-b17",1373719889103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719889103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719889181
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373719896243
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1373719897447
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1373719898181
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1373719898181
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1373719898181
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1373719898181
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1373719898197
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1373719898197
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1373719898197
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1373719898197
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1373719898197
